fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews
Run Sausage Run!,crazy labs by tabtale,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,50000000.0,arcade,0.80,8.00,free,0.0,3.9,"359,419",359419
Stickman Parkour Platform: Epic Ninja simulator,limberger,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,action,,,free,0.0,3.9,"47,881",47881
Jewels Legend - Match 3 Puzzle,linkdesks - jewel games star,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,99.99,free,0.0,4.6,"417,402",417402
Temple Run,imangi studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,arcade,0.99,20.99,free,0.0,4.3,"4,270,389",4270389
Rocket Valley Tycoon - Idle Resource Manager Game,iron horse games llc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,casual,3.09,59.99,free,0.0,4.2,"1,915",1915
Missiles!,macaque,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,0.99,3.99,free,0.0,4.4,"59,081",59081
4 in a Row Multiplayer,benjamin lochmann new media gmbh,1.0,1.0,1.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,casual,0.89,0.89,free,0.0,3.8,"29,776",29776
Tap Tap Dig - Idle Clicker Game,iron horse games llc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,1.99,49.99,free,0.0,4.3,"19,267",19267
Catan Universe,usm,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,board,1.09,27.99,free,0.0,3.8,"25,781",25781
Connect Trees,magma mobile,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.4,"16,249",16249
The Looper,iamtagir,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,1.89,1.89,free,0.0,4.2,"5,902",5902
2248,currygames,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,3.19,3.19,free,0.0,4.6,"56,74",5674
Do I Have a Right?,icivics,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,educational,,,free,0.0,4.1,"3,885",3885
Car Merger,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,simulation,3.59,3.59,free,0.0,4.0,"33,57",3357
