appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.ea.gp.bejeweledskies,Bejeweled Stars: Free Match 3,electronic arts,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,puzzle,1.09,109.99,free,0.0,4.5,"102,21",10221,"May 10, 2016","Oct 28, 2020",True
com.ubisoft.dance.justdance2015companion,Just Dance Controller,ubisoft entertainment,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,music,,,free,0.0,3.6,"82,19",8219,"Oct 24, 2014","Nov 12, 2020",True
com.playstation.knowledge,Knowledge is Power,playstation mobile inc.,0.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,trivia,,,free,0.0,4.5,"11,371",11371,"Oct 20, 2017","Feb 27, 2019",True
com.supercell.clashroyale,Clash Royale,supercell,1.0,0.0,0.0,0.0,0.0,1.0,1,7+,0.0,100000000.0,strategy,1.09,109.99,free,0.0,4.3,"27,311,025",27311025,"Mar 1, 2016","Nov 18, 2020",True
com.supercell.clashofclans,Clash of Clans,supercell,1.0,0.0,0.0,0.0,0.0,1.0,1,7+,0.0,500000000.0,strategy,1.09,109.99,free,0.0,4.6,"50,202,117",50202117,"Sep 30, 2013","Nov 03, 2020",True
com.nutnut.heyloveadam,Hey Love Adam: Texting Game,nutnut,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,simulation,4.49,17.99,free,0.0,4.5,"98,861",98861,"Nov 19, 2017","Oct 06, 2020",True
com.altshift.notnot,Not Not - A Brain-Buster,altshift,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.99,29.99,free,0.0,4.4,"53,825",53825,"May 2, 2017","Nov 12, 2020",False
com.scopely.yux,YAHTZEE? With Buddies Dice Game,scopely,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,board,0.99,109.99,free,0.0,4.3,"115,956",115956,"Nov 1, 2017","Nov 19, 2020",True
com.panagola.game.imarblefree,Marble Solitaire,panagola,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.49,1.49,free,0.0,4.4,"8,273",8273,"Feb 17, 2013","Feb 20, 2020",True
io.voodoo.holeio,Hole.io,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,50000000.0,arcade,0.99,4.19,free,0.0,4.4,"777,198",777198,"Jun 21, 2018","Oct 19, 2020",True
