purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
1,1,0,0,0,everyone,0,0,Board,0,0,11.96,4.3,4.187249172,0.390975656,1.637112491
1,1,0,0,0,everyone,0,0,Racing,0,0,0.42,4.1,-0.221584663,-0.156672227,0.034716163
1,0,0,0,1,everyone,0,0,Sports,1,1,14.96,4,5.33339315,-0.430496168,-2.296005315
1,0,0,0,0,everyone,0,0,Racing,0,0,0.05,3.9,-0.36294242,-0.70432011,0.255627645
0,1,0,0,0,everyone,0,0,Educational,0,1,0.05,4.2,-0.36294242,0.117151715,-0.042519327
1,1,0,0,0,12+,0,0,Arcade,0,1,6.49,3.9,2.097446652,-0.70432011,-1.477273856
1,0,0,0,0,everyone,0,0,Sports,0,1,1.75,3.9,0.286539167,-0.70432011,-0.201815298
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.91,4.5,-0.034381147,0.938623539,-0.032270954
1,1,1,0,0,everyone,0,0,Puzzle,1,1,1.96,4.4,0.366769246,0.664799597,0.243828047
0,1,0,0,0,everyone,0,0,Puzzle,0,1,15.72,4.3,5.623749624,0.390975656,2.198749198
1,1,0,0,0,everyone,0,0,Word,0,0,1.74,4.6,0.282718687,1.21244748,0.34278156
1,1,0,0,0,everyone,0,0,Word,0,0,4.77,4.4,1.440324105,0.664799597,0.957526885
1,1,0,0,0,7+,0,0,Puzzle,0,1,6.02,4.3,1.917884096,0.390975656,0.749845992
1,1,0,0,0,everyone,0,0,Board,0,1,0.15,4.3,-0.324737621,0.390975656,-0.126964504
0,1,0,0,0,everyone,0,0,Puzzle,0,1,3.68,4.3,1.023891793,0.390975656,0.400316765
1,1,0,0,0,16+,0,0,Adventure,0,1,0.06,3.2,-0.35912194,-2.6210877,0.941290101
1,1,0,0,0,everyone,0,0,Board,0,1,1.79,4.5,0.301821087,0.938623539,0.283296377
1,1,0,0,0,everyone,0,0,Simulation,0,0,0.06,3.6,-0.35912194,-1.525791934,0.54794536
1,1,0,0,0,everyone,0,0,Racing,0,1,5.06,4.2,1.551118023,0.117151715,0.181716136
1,0,0,0,0,12+,0,0,Adventure,1,1,3.9,4.2,1.107942351,0.117151715,0.129797346
0,1,0,0,0,12+,0,0,Casino,0,0,1.96,3.9,0.366769246,-0.70432011,-0.258322955
1,0,0,0,0,everyone,0,1,Puzzle,0,1,0.22,4.8,-0.297994262,1.760095363,-0.524498318
1,1,0,0,0,everyone,0,0,Puzzle,0,0,0.6,4.2,-0.152816024,0.117151715,-0.017902659
1,1,0,0,0,everyone,0,0,Sports,0,1,1.4,4.2,0.15282237,0.117151715,0.017903403
1,1,0,0,0,everyone,0,0,Casual,1,1,20.17,4.3,7.323863191,0.390975656,2.863452215
1,1,1,1,0,everyone,0,0,Educational,0,0,0.05,3.8,-0.36294242,-0.978144051,0.355009969
1,1,0,0,0,everyone,0,0,Educational,0,1,1.19,4.1,0.072592291,-0.156672227,-0.011373196
0,1,0,0,0,everyone,0,0,Trivia,0,1,0.04,4.4,-0.3667629,0.664799597,-0.243823828
0,1,0,0,1,everyone,0,0,Strategy,0,0,0.32,3.1,-0.259789462,-2.894911641,0.752067539
1,1,0,0,0,everyone,0,0,Arcade,0,0,2.01,4.4,0.385871645,0.664799597,0.256527314
0,1,0,0,0,everyone,0,0,Educational,0,1,0.37,4.3,-0.240687063,0.390975656,-0.094102782
0,1,0,0,0,everyone,0,0,Trivia,0,1,0.32,4.2,-0.259789462,0.117151715,-0.030434781
1,1,0,0,0,everyone,0,0,Adventure,0,1,1.4,4.4,0.15282237,0.664799597,0.10159625
1,1,0,0,0,everyone,0,0,Puzzle,0,1,1.1,4.2,0.038207972,0.117151715,0.004476129
1,1,0,0,0,everyone,0,0,Strategy,0,1,0.17,4,-0.317096661,-0.430496168,0.136508898
1,0,0,0,1,everyone,0,0,Casual,0,1,0.37,4.4,-0.240687063,0.664799597,-0.160008662
1,1,0,0,0,everyone,0,0,Puzzle,1,1,8.29,4.5,2.785133039,0.938623539,2.614191429
0,1,0,0,0,everyone,0,0,Card,0,0,0.72,4.6,-0.106970265,1.21244748,-0.129695829
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.47,3.9,-0.202482263,-0.70432011,0.14261233
0,1,0,0,0,everyone,0,0,Puzzle,0,0,0.02,4.2,-0.37440386,0.117151715,-0.043862054
1,1,0,0,0,12+,0,0,Casual,0,0,9,4.3,3.056387114,0.390975656,1.194972956
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.25,4.2,-0.286532822,0.117151715,-0.033567811
1,0,0,0,0,everyone,0,0,Strategy,0,1,0.8,4,-0.076406426,-0.430496168,0.032892674
1,1,0,0,1,everyone,0,0,Simulation,0,1,0.49,4.2,-0.194841304,0.117151715,-0.022825993
0,0,0,0,1,everyone,0,0,Educational,0,0,0.83,3.6,-0.064944986,-1.525791934,0.099092536
1,1,0,0,0,7+,0,0,Puzzle,0,0,0.02,4.2,-0.37440386,0.117151715,-0.043862054
1,0,0,0,0,everyone,0,0,Puzzle,0,0,0.02,4.4,-0.37440386,0.664799597,-0.248903535
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.43,4.5,-0.217764183,0.938623539,-0.204398588
1,1,0,0,1,everyone,0,0,Casual,1,1,6.73,4.4,2.18913817,0.664799597,1.455338174
1,1,0,0,0,everyone,0,0,Arcade,1,1,12.88,4.3,4.538733325,0.390975656,1.774534239
1,1,0,0,0,everyone,0,0,Arcade,0,0,15.88,3.7,5.684877303,-1.251967993,-7.117284425
1,1,0,0,1,everyone,0,0,Simulation,0,1,0.68,3.9,-0.122252185,-0.70432011,0.086104672
1,1,0,0,1,everyone,0,0,Racing,0,1,0.34,4.3,-0.252148503,0.390975656,-0.098583926
1,0,1,0,0,12+,0,0,Role Playing,1,1,3.18,4.1,0.832867797,-0.156672227,-0.130487252
1,1,0,0,1,everyone,0,0,Card,0,1,0.1,4.3,-0.343840021,0.390975656,-0.134433078
1,1,0,0,0,everyone,0,0,Word,0,0,0.27,4.4,-0.278891862,0.664799597,-0.185407198
1,1,0,0,1,16+,0,0,Action,1,1,7.37,4.1,2.433648886,-0.156672227,-0.38128519
1,1,0,1,1,7+,0,0,Action,0,1,6.94,4,2.269368249,-0.430496168,-0.976954336
1,1,0,0,0,everyone,0,0,Simulation,0,1,1.96,4.4,0.366769246,0.664799597,0.243828047
1,1,0,0,1,everyone,0,0,Trivia,0,1,1.38,3.9,0.14518141,-0.70432011,-0.102254186
1,1,0,0,1,everyone,0,0,Trivia,0,1,6.04,4.2,1.925525056,0.117151715,0.225578562
